ID,LINE,STATIONA,STATIONB,UNIMPEDED,PEAK,OFFPEAK
643,4,UPY,BKG,1.92,2.66,3.82
644,9,UXB,HDN,3,3,3
645,7,UXB,HDN,3,3,3
646,10,VIC,GPK,1.95,2,2
647,10,VIC,PIM,1.83,2,2
648,4,VIC,SJP,1.42,1.5,1.5
649,3,VIC,SJP,1.42,1.5,1.5
650,4,VIC,SSQ,1.75,2,2
651,3,VIC,SSQ,1.75,2,2
652,10,VUX,PIM,1.37,1.5,1.5
653,10,VUX,STK,2.3,2.94,2.52
654,2,WAC,EBY,3.07,2.76,2.82
655,2,WAC,NAC,2.3,2.86,3.26
656,10,WAL,BHR,2.12,2,2
657,2,WAN,LYS,2.17,3.05,3.64
658,2,WAN,RED,1.62,2,2
659,1,WAR,MDV,1.5,1.5,1.5
660,1,WAR,PAD,1.58,2,2
661,7,WAT,#N/A,3.22,3,3
662,5,WBP,LBG,1.48,1.5,1.5
663,5,WBP,ROA,1.78,2,2
664,4,WBT,ECT,1.42,3.44,3.24
665,4,WBT,FBY,1.55,1.5,1.5
666,5,WCL,ALE,2.18,2.45,2.06
667,4,WCL,ALE,2.18,2.46,2.05
668,5,WCL,STG,2.05,2,2
669,4,WCL,STG,2.05,2,2
670,2,WCT,EAC,2.67,3,3
671,2,WCT,SBC,2.68,2.75,2.75
672,4,WDN,WMP,2.82,3,3
673,1,WEM,NWM,1.95,2,2
674,1,WEM,SPK,2.23,3.13,3.13
675,2,WFD,BHL,2.28,2.5,2.5
676,2,WFD,ROD,2.18,2.53,2.5
677,2,WFD,SWF,1.95,2.25,2.25
678,8,WFY,FYC,2.08,3.13,2.51
679,8,WFY,WSP,1.55,2,2
680,9,WGN,BGR,2.23,2.5,2.5
681,9,WGN,TPL,1.52,1.5,1.5
682,6,WHD,FRD,1.25,1.5,1.5
683,6,WHD,KIL,1.55,2,2
684,5,WHM,BBB,2.12,2,2
685,4,WHM,BBB,2.12,2,2
686,6,WHM,CNT,2.13,2.5,2.5
687,5,WHM,PLW,1.43,2.26,2.04
